STATE,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
AL,4026151 ,3999057 ,3954378 ,3943082 ,3907038 ,3881542 ,3859403 ,3827522 ,3798552 ,3805751 
AK,529281 ,536033 ,534585 ,534585 ,533227 ,531744 ,528873 ,526371 ,521280 ,515239 
AZ,5369210 ,5284970 ,5164966 ,5082305 ,4978762 ,4881801 ,4791450 ,4697579 ,4592398 ,4443647 
AR,2153929 ,2145334 ,2417464 ,2391103 ,2119578 ,2111873 ,2097201 ,2199164 ,1956091 ,2077806 
CA,27213650 ,27039400 ,26777132 ,26199436 ,25532920 ,24813346 ,24390236 ,24200997 ,23856600 ,23753441 
CO,4235384 ,4244713 ,4156138 ,4066580 ,3974521 ,3883362 ,3837488 ,3807673 ,3669816 ,3779273 
CT,2608061 ,2605612 ,2586994 ,2611007 ,2566673 ,2542588 ,2534090 ,2485708 ,2986267 ,2934576 
DE,812529 ,786504 ,770512 ,756328 ,742524 ,732349 ,723657 ,720290 ,716109 ,695036 
DC,535579 ,527731 ,521056 ,489831 ,455602 ,419896 ,405555 ,400993 ,395442 ,384940 
FL,15560628 ,15368695 ,15076358 ,14675160 ,14262715 ,13898347 ,13670441 ,13896581 ,13882423 ,13949726 
GA,7261266 ,7168733 ,7060344 ,6975900 ,6906191 ,6650434 ,6607016 ,6581534 ,6505690 ,6507888 
HI,943173 ,948417 ,951008 ,931703 ,909797 ,902639 ,915033 ,915033 ,911660 ,909407 
ID,1252535 ,1252535 ,1190367 ,1160922 ,1135009 ,1128497 ,1111485 ,1092977 ,1083992 ,1069542 
IL,8546932 ,8714788 ,8529404 ,8514644 ,8462193 ,8373565 ,8261582 ,8235745 ,8373969 ,8373969 
IN,4589405 ,4589405 ,4553584 ,4553259 ,4467848 ,4448099 ,4500403 ,5375973 ,6569665 ,5550469 
IA,2274431 ,2260271 ,2246829 ,2245640 ,2224130 ,2227950 ,2143665 ,2217304 ,2191715 ,2166759 
KS,2154260 ,2149430 ,2029869 ,2030025 ,2028657 ,2021271 ,2017759 ,2018029 ,2025581 ,2033092 
KY,3030329 ,3032530 ,3019008 ,3031447 ,3021266 ,3004919 ,3019283 ,2985234 ,2959881 ,2950191 
LA,3435168 ,3425435 ,3425656 ,3395095 ,3357091 ,3312630 ,3278143 ,2923744 ,3186227 ,3133631 
ME,1046129 ,1040582 ,1032703 ,1021332 ,1019879 ,1018918 ,1011385 ,1008190 ,1014826 ,1019738 
MD,4463862 ,4407973 ,4329503 ,4264875 ,4185752 ,4142997 ,4140105 ,4102154 ,3856604 ,3918305 
MA,4950056 ,4944666 ,4935176 ,5040662 ,5040662 ,4765586 ,4765586 ,4733936 ,4683323 ,4592500 
MI,7141494 ,7153645 ,7095778 ,7074674 ,7104484 ,7046433 ,6986587 ,7018713 ,7059509 ,7083107 
MN,3391057 ,3391057 ,3394815 ,3377910 ,3351430 ,3357468 ,3330725 ,3321760 ,3306139 ,3281463 
MS,2058036 ,2058036 ,2053924 ,2018862 ,1988396 ,1977679 ,1968907 ,1957980 ,1926603 ,1928487 
MO,4274389 ,4272960 ,4274784 ,4249579 ,4213302 ,4295224 ,4280438 ,4288488 ,4277037 ,4246249 
MT,811851 ,806204 ,807259 ,797145 ,781427 ,768703 ,766716 ,757812 ,752483 ,743611 
NE,1430818 ,1420317 ,1404479 ,1404479 ,1394301 ,1383693 ,1374529 ,1363596 ,1356377 ,1351516 
NV,2054421 ,1983453 ,1918305 ,1872376 ,1835511 ,1796443 ,1756095 ,1728060 ,1700829 ,1691318 
NH,1195211 ,1161665 ,1103624 ,1096234 ,1074766 ,1071963 ,1061433 ,1064604 ,1056889 ,1037083 
NJ,6377413 ,6342876 ,6301363 ,6238436 ,6179318 ,6152634 ,6081386 ,6039623 ,5977458 ,5952583 
NM,1449711 ,1458433 ,1473262 ,1521785 ,1467782 ,1444857 ,1456500 ,1430475 ,1418641 ,1405926 
NY,12194360 ,12194360 ,12185313 ,11947568 ,11689839 ,11318198 ,11210783 ,11248617 ,11210783 ,11285830 
NC,7620001 ,7509231 ,7389467 ,7267042 ,7160621 ,7025333 ,6822902 ,6677693 ,6569341 ,6536601 
ND,556064 ,561333 ,561667 ,555935 ,545027 ,527541 ,513838 ,502807 ,490146 ,483097 
OH,8032792 ,8032665 ,8011705 ,7974951 ,7923439 ,7915907 ,8030421 ,8006183 ,7982149 ,7963372 
OK,2522670 ,2504253 ,2505989 ,2498178 ,2621733 ,2451972 ,2418307 ,2400358 ,2370643 ,2348718 
OR,2930701 ,2930702 ,2910592 ,2855746 ,2808548 ,2785446 ,2773373 ,2769757 ,2773956 ,2769734 
PA,8987676 ,8991370 ,8964855 ,8996815 ,8942967 ,8915641 ,8896590 ,8842587 ,8796774 ,8737162 
RI,761046 ,756966 ,753202 ,753143 ,745470 ,748337 ,749232 ,749706 ,749706 ,747875 
SC,3877968 ,3846069 ,3810962 ,3746681 ,3683824 ,3617535 ,3536404 ,3455931 ,3408318 ,3337247 
SD,638428 ,638428 ,628506 ,622663 ,655707 ,609908 ,603643 ,606779 ,603258 ,602275 
TN,5422429 ,5422429 ,5377653 ,5197904 ,4621401 ,4613166 ,4605100 ,4573871 ,4543759 ,4418210 
TX,17822760 ,17370383 ,17099340 ,16162382 ,15879876 ,15648733 ,15447273 ,15252192 ,15122518 ,15157650 
UT,2121099 ,2030644 ,1995377 ,1960366 ,1913564 ,1425703 ,1661219 ,1788822 ,1747487 ,1659835 
VT,564894 ,564892 ,560247 ,553670 ,548799 ,545312 ,543057 ,529501 ,521666 ,513481 
VA,5888196 ,5929031 ,5926430 ,5912048 ,5820209 ,5769063 ,5602765 ,5538480 ,5467045 ,5402347 
WA,5711136 ,5909967 ,5768281 ,5635715 ,5516134 ,5401139 ,5301630 ,5227889 ,5178789 ,5106367 
WV,1130389 ,1136775 ,1148786 ,1159348 ,1167346 ,1171907 ,1177136 ,1241586 ,1198837 ,1206026 
WI,4296646 ,4288171 ,4234793 ,4206770 ,4194759 ,4188194 ,4171427 ,4056649 ,4147470 ,4133377 
WY,424115 ,419256 ,422465 ,421098 ,422450 ,423987 ,421473 ,421580 ,421928 ,419466 
TOTAL,228679719 ,227558385 ,225346257 ,221994424 ,218084465 ,214092472 ,212159728 ,211814830 ,211874649 ,210114939 
