STATE,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
AL,3729856,3597356,3643976,3756563,3522074,3410031,3307699,3306393,3341468,3399044
AK,411956,379733,423591,412865,432917,491691,411970,444586,432095,507152
AZ,4012891,3909428,3814730,3781430,3624942,3498701,3363020,3383173,3409225,3427954
AR,2236732,2188706,2198875,2179041,2088504,2083653,1994719,2026465,2028666,2085277
CA,18933912,18810638,18885476,18690061,18132000,17861831,17412647,17274042,17382533,17623342
CO,3137122,3064090,3030597,3020848,2947252,2873230,2708739,2674427,2671170,2686100
CT,1803906,1805358,1788268,1794152,1757609,1721693,1707206,1719015,1749056,1770484
DE,641745,602034,581408,561015,534939,504373,492201,494580,496442,508081
DC,128206,128206,114553,135927,129438,128086,113339,113294,125402,135946
FL,11245020,11169007,10916468,10710815,10357766,9980116,9661456,9509057,9498353,9601678
GA,6362062,6390119,6617186,6176243,6361261,6003914,6075794,5821668,5913536,6150476
HI,520830,516247,525326,526053,519193,514271,500945,496095,520733,472571
ID,1188446,1130181,1120185,1100662,1052175,1005387,966542,956225,935651,950561
IL,6280426,6458149,6495071,6473111,6330468,6257730,6118099,6072802,6203663,6297797
IN,4398411,4406293,4460311,4479949,4438073,4394826,4248484,4248761,4275543,4365001
IA,2419039,2395357,2303884,2438772,2338256,2393912,2308264,2294642,2372756,2356737
KS,1888548,1788050,1755818,1852691,1811773,1848736,1772813,1723325,1765578,1815461
KY,3079142,3078983,3054617,3033842,2957457,2955445,2865083,2915365,2939403,3007212
LA,3010506,2870081,2910334,2997307,3090269,2990906,2959057,2900457,3061840,3041193
ME,838573,838573,902376,1001631,980171,972405,938095,845173,865184,863092
MD,3299060,3253597,3269987,3303558,3378731,3294569,3290279,3221336,3168756,3203577
MA,3256400,3259483,3238202,3298943,3239195,3178267,3245950,3203021,3203383,3190416
MI,5831913,5905365,5698474,5801862,5652764,5615118,5491633,5300799,5314379,5368272
MN,3561065,3525741,3508527,3517283,3296794,3280403,3181907,3243972,3147139,3215692
MS,2464662,2389885,2418304,2460196,2361372,2299619,2162172,2219249,2150488,2216536
MO,4311175,4279210,4281335,4306845,4193366,4177870,4008150,4046982,4101905,4204108
MT,834775,823183,821998,819021,808528,800507,775978,768461,749076,746558
NE,1421031,1389777,1380830,1385763,1335480,1351585,1282370,1265046,1258482,1281190
NV,1641088,1603037,1595583,1528280,1464528,1427460,1414434,1383568,1382037,1404303
NH,843669,839683,829303,822464,817577,816575,796473,792118,798448,812464
NJ,4778073,4777666,4862451,5144925,4950152,4978265,4755826,4845484,4949485,4985208
NM,1637623,1601955,1607305,1514769,1518671,1510443,1447820,1474884,1465753,1385777
NY,7312463,7169720,7349881,7222169,6920259,7052505,6700637,6794793,6875870,7143540
NC,6290787,6044624,5905016,5879205,5635114,5475640,5292373,5225722,5374423,5491168
ND,773293,770491,755137,742296,826730,901902,844836,816067,731579,628207
OH,6802637,6841695,6820010,6764813,6686138,6655387,6438269,6395968,6451648,6523216
OK,2911909,2935690,2918171,2884626,2820386,2908441,2741740,2741264,2614883,2703178
OR,2203610,1649040,2225052,2179683,2104856,2054954,1997721,1982194,2008737,2053873
PA,6544855,6412953,6582640,6498445,6484191,6640642,6542247,6541082,6638645,6642149
RI,459836,457657,439902,432725,448348,449248,422010,421091,436574,455550
SC,3771947,3693325,3756739,3728100,3530449,3397812,3433761,3301762,3322223,3305236
SD,713586,721933,722422,722647,712364,703173,661378,688646,656737,652465
TN,4619097,4453756,4476423,4434282,4287519,4208476,4026398,4018454,4089018,4106417
TX,20922497,20563015,20037717,19684412,19094084,18826045,17415813,16882295,16453361,16259529
UT,1752865,1710332,1723087,1687213,1664045,1594325,1564021,1536075,1566853,1452542
VT,381930,361961,385414,386758,383424,379141,376962,375533,380203,388998
VA,5180442,5180442,5183643,5155486,5037150,5092219,4901986,4936776,4769991,5043142
WA,3745286,3693384,3557623,3527905,3513728,3457628,3369316,3279245,3294441,3309510
WV,1355886,1355886,1211618,1122308,1129345,1109513,1076428,1103802,1107775,1146585
WI,3572163,3605942,3435726,3471017,3442549,3465897,3175017,3235945,3208132,3299190
WY,736779,724441,683932,714658,719538,726596,733275,734997,664497,707482
TOTAL,190199731,187521458,187225501,186265639,181863912,179721162,173493352,171996181,172323218,174391235
