STATE,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
AL,5288208,5300199,5056073,5468301,5400419,5366844,4787219,4844632,4811943,4653838
AK,795275,803684,804505,794614,815122,800433,785825,775245,757954,710444
AZ,5982559,5806313,5964434,5786891,5630647,5588014,5381050,5163015,5109254,4320010
AR,2902111,2817145,2833697,2808138,2772214,2778660,2417959,2479915,2448310,2073411
CA,31247270,31022328,30795141,30221033,29424012,28686646,28074977,27702150,29176697,31014128
CO,5412404,5356018,5259960,5116341,5005172,4820622,4683410,4561896,4332251,4180298
CT,2878548,2879802,2826350,2841842,2841764,2866460,2855538,2706459,2828794,3082011
DE,1016927,1008468,970733,1003840,964316,957669,947442,943642,929415,799012
DC,350463,351933,346016,337100,322929,334331,332773,322350,316231,211653
FL,17833720,17496002,16959269,16600317,16105008,15504814,15131735,15665986,15469189,14372807
GA,8594567,8512550,8442325,8239779,8137621,8155107,7780346,7646995,7533735,7701942
HI,1272361,1267385,1259541,1231728,1242319,1393259,1334692,1231742,1148041,904467
ID,1954528,1879670,1835903,1842245,1854019,1762687,1692457,1644228,1625204,1324985
IL,10691947,10588910,10890760,10277182,10595254,10393503,10193438,10131883,10445208,10078618
IN,6223460,6190736,6170034,6140530,6045114,6012595,5574026,6004366,6132772,5698013
IA,3786328,3691892,3750077,3676290,3636898,3596530,3540763,3511050,3496576,3312705
KS,2682337,2684010,2717873,2649736,2634856,2542678,2627845,2449230,2445966,2436246
KY,4383223,4368285,4293205,4224788,4151982,4148721,4031748,3670566,3763027,3589118
LA,3802746,3885119,3906812,3904962,3901432,3886934,3957174,3889416,4052596,4086128
ME,1130056,1125588,1094388,1107674,1104001,1194661,1199134,1180092,1171280,1053842
MD,4203994,4204846,4357598,4178873,4135158,4052090,3833526,3982734,3905629,4557006
MA,5061260,5061499,5065221,5069559,5069601,4994439,4985448,4949859,5695327,5333915
MI,8440065,8386831,8518097,8332895,8294108,8126337,8192368,7798432,9182847,9286067
MN,5425885,5404277,5682653,5358317,5281269,5223189,5219490,5099007,4909634,4847971
MS,2066681,2067498,2057476,2067222,2068853,2067806,2073535,2052140,2036524,2015915
MO,5534289,5498675,5568736,5684525,5624005,5332901,5820656,5684682,5169994,5153425
MT,1900806,1845338,1863918,1794732,1645227,1585830,1539931,1488608,1219158,925854
NE,1968479,1961309,1965105,1951766,1981296,1947627,1891253,1888478,1886956,1802498
NV,2546583,2514338,2455442,2398659,2316056,2240498,2203096,2130331,2152407,1361671
NH,1363379,1346318,1319117,1322682,1296137,1310191,1408936,1302441,1278484,1202974
NJ,6033015,6055389,6057711,5940997,5938585,6874100,7061343,7911474,7939956,6628080
NM,1825421,1824217,1740002,1823961,1823445,1930706,1882466,1805790,1772040,1612491
NY,11389158,11482229,10857455,11122392,10638765,10903620,10674135,10448743,10430559,10255099
NC,8527388,8210213,8070717,8270643,7928973,7876030,7813854,7792555,6249592,5742829
ND,903668,899953,1056758,894954,890803,870731,845109,810355,785866,735644
OH,10901279,10913773,10809247,10686057,10557323,10453358,10360365,10116248,10217277,9800933
OK,3706624,3699022,3744178,3737405,2988512,3517806,3460012,3439937,3428689,3357464
OR,3919157,3942875,4103451,3811706,3607482,3417959,3603825,3527237,3128120,3050254
PA,10800315,10727715,10689206,10748822,10598694,10504757,10461108,10471413,10302980,9990941
RI,868942,872344,872814,876228,875097,864762,853152,854359,918823,782438
SC,4516143,4457519,4404100,4324423,4162651,4017611,3986574,3896832,3827208,3660878
SD,1280969,1269415,1258356,1246359,1082289,1032705,1015173,1003571,995423,925548
TN,5817887,5770874,5800489,5709923,5612123,5495647,5451933,5392661,5302335,5113913
TX,23007146,22186241,22130765,21766166,21864841,20877026,20171135,20238122,19617055,17193559
UT,2430275,2372800,2355773,2317282,2229193,2150573,2060512,1981341,1883410,2654715
VT,620428,619694,621608,615950,655347,612437,611789,606941,605054,566650
VA,7647692,7604646,7514484,7301081,7238905,7160097,7051016,7116791,6998385,6148794
WA,7377028,7152413,7256196,7047689,6725467,6405483,6392840,5849945,5880793,4682790
WV,1668113,1693719,1691237,1704825,1613345,1553192,1453395,1458802,1458222,1435523
WI,5666400,5683061,5596635,5564429,5466581,5340155,5338759,5215294,5244195,4967777
WY,843671,837024,819257,855230,814989,820107,830539,799405,798296,663253
TOTAL,276491174,273602100,272480899,268799083,263610219,260350938,255876822,253639386,253215681,242060545
